o_zone_id,d_zone_id,volume
1,5,1.414
1,7,1.199
1,8,1.141
1,11,1.761
1,12,1.646
1,13,1.375
1,16,1.183
1,176,2.437
1,177,1.117
1,467,1.13
1,469,1.181
1,479,4.887
1,480,6.007
1,513,1.638
1,514,2.855
2,3,1.038
2,4,1.189
2,5,6.615
2,6,4.101
2,7,6.9
2,8,5.891
2,9,3.83
2,10,5.458
2,11,12.417
2,12,9.055
2,13,8.775
2,14,5.455
2,15,7.235
2,16,7.283
2,17,2.275
2,35,1.384
2,37,3.418
2,38,1.811
2,39,3.118
2,40,1.971
2,41,2.05
2,43,2.503
2,46,3.194
2,47,1.992
2,48,2.658
2,49,2.615
2,50,1.011
2,51,1.412
2,83,1.881
2,84,2.621
2,86,1.552
2,87,3.161
2,94,5.995
2,95,3.322
2,99,1.292
2,101,1.651
2,102,2.99
2,104,3.863
2,105,1.829
2,106,1.334
2,107,1.997
2,108,1.728
2,109,1.098
2,110,3.689
2,111,1.588
2,112,2.274
2,114,4.243
2,115,4.719
2,116,4.317
2,117,2.027
2,118,4.392
2,119,3.232
2,120,5.841
2,121,3.568
2,122,3.483
2,123,3.877
2,132,2.436
2,133,1.979
2,134,1.112
2,136,1.714
2,137,2.844
2,138,2.042
2,139,4.664
2,142,1.505
2,143,2.778
2,144,2.448
2,145,2.266
2,146,1.688
2,147,4.015
2,148,1.048
2,150,2.06
2,152,2.57
2,153,2.744
2,154,4.461
2,161,1.515
2,163,1.237
2,164,2.023
2,169,1.02
2,170,3.058
2,171,1.364
2,172,1.278
2,176,10.423
2,177,4.717
2,179,5.106
2,180,2.431
2,182,1.11
2,183,1.247
2,184,1.961
2,185,4.319
2,190,3.179
2,192,2.486
2,198,1.452
2,202,1.864
2,203,2.491
2,205,1.835
2,206,1.399
2,207,1.088
2,217,9.01
2,220,1.242
2,226,5.017
2,227,2.715
2,229,2.684
2,232,1.067
2,234,1.292
2,236,1.234
2,237,1.108
2,239,1.472
2,244,1.2
2,259,1.066
2,260,1.371
2,262,1.509
2,273,1.696
2,276,1.041
2,277,1.092
2,278,1.443
2,279,1.446
2,280,1.302
2,282,1.033
2,297,1.285
2,301,1.114
2,304,1.361
2,308,1.55
2,313,1.503
2,321,1.393
2,333,1.631
2,334,1.212
2,340,1.121
2,343,1.075
2,346,1.035
2,365,1.804
2,368,1.113
2,373,1.071
2,382,1.484
2,383,1.133
2,392,1.024
2,393,1.065
2,394,1.038
2,401,1.223
2,431,1.145
2,436,1.007
2,438,1.43
2,439,1.285
2,441,1.146
2,442,1.0
2,445,2.494
2,448,1.685
2,460,3.271
2,464,2.217
2,466,1.275
2,467,2.393
2,468,2.771
2,469,3.693
2,476,2.493
2,477,1.086
2,478,1.528
2,479,1.277
2,480,3.087
2,483,1.299
2,484,1.298
2,486,1.255
2,487,1.225
2,488,1.299
2,491,1.529
2,492,2.145
2,493,1.098
2,494,1.813
2,495,1.701
2,497,1.895
2,500,2.436
2,501,1.059
2,503,1.487
2,506,2.116
2,508,2.222
2,509,4.297
2,510,3.636
2,512,1.637
2,514,1.648
2,516,1.536
2,542,1.138
3,2,1.02
3,5,2.259
3,6,1.119
