link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,11000,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.5506 18.9009, 23.6731 19.0991)"
2,1,11007,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.5506 18.9009, 23.6675 19.0848)"
3,1,11704,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.5506 18.9009, 23.514 18.6511)"
4,1,11708,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.5506 18.9009, 23.5208 18.6319)"
5,1,11717,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.5506 18.9009, 23.7538 18.7294)"
6,2,10892,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.6215 18.364, 23.4891 18.2789)"
7,2,10895,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.6215 18.364, 23.7271 18.2553)"
8,2,11707,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.6215 18.364, 23.5351 18.4541)"
9,2,11711,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.6215 18.364, 23.4972 18.3063)"
10,2,11714,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.6215 18.364, 23.7619 18.42)"
11,3,3336,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5554 19.0699, 24.4877 19.2433)"
12,3,3361,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5554 19.0699, 24.497 18.8829)"
