node_id,zone_id,x_coord,y_coord,geometry
1,1,23.5506,18.9009,POINT (23.5506 18.9009)
2,2,23.6215,18.364,POINT (23.6215 18.364)
3,3,24.5554,19.0699,POINT (24.5554 19.0699)
4,4,25.4589,18.717,POINT (25.4589 18.717)
5,5,23.8744,18.4044,POINT (23.8744 18.4044)
6,6,23.9589,18.712,POINT (23.9589 18.712)
7,7,24.1801,18.3274,POINT (24.1801 18.3274)
8,8,24.1994,18.6586,POINT (24.1994 18.6586)
9,9,25.1849,18.5001,POINT (25.1849 18.5001)
10,10,24.8381,18.4747,POINT (24.8381 18.4747)
11,11,24.5312,18.625,POINT (24.5312 18.625)
12,12,24.9543,18.7717,POINT (24.9543 18.7717)
13,13,24.1472,17.9533,POINT (24.1472 17.9533)
14,14,24.3914,18.0882,POINT (24.3914 18.0882)
15,15,24.5119,17.752,POINT (24.5119 17.752)
16,16,25.0798,18.0409,POINT (25.0798 18.0409)
17,17,24.8095,18.1758,POINT (24.8095 18.1758)
18,18,25.3259,18.0782,POINT (25.3259 18.0782)
19,19,24.3914,17.1101,POINT (24.3914 17.1101)
20,20,24.996,17.4774,POINT (24.996 17.4774)
21,21,25.6068,17.9049,POINT (25.6068 17.9049)
22,22,25.0656,17.0598,POINT (25.0656 17.0598)
23,23,24.9842,16.7969,POINT (24.9842 16.7969)
24,24,24.5821,16.9374,POINT (24.5821 16.9374)
25,25,25.6795,17.0393,POINT (25.6795 17.0393)
26,26,25.5105,16.6938,POINT (25.5105 16.6938)
27,27,26.4338,20.806,POINT (26.4338 20.806)
28,28,26.1486,20.9396,POINT (26.1486 20.9396)
29,29,26.1486,20.9396,POINT (26.1486 20.9396)
30,30,25.8317,20.5879,POINT (25.8317 20.5879)
31,31,26.4475,20.1567,POINT (26.4475 20.1567)
32,32,26.737,19.6267,POINT (26.737 19.6267)
33,33,26.4046,19.1203,POINT (26.4046 19.1203)
34,34,26.3182,19.5714,POINT (26.3182 19.5714)
35,35,26.0716,19.8964,POINT (26.0716 19.8964)
36,36,25.677,19.4707,POINT (25.677 19.4707)
37,37,25.4545,19.2352,POINT (25.4545 19.2352)
38,38,25.0382,19.3763,POINT (25.0382 19.3763)
39,39,24.9922,19.9815,POINT (24.9922 19.9815)
40,40,25.2402,19.6901,POINT (25.2402 19.6901)
41,41,24.8549,19.6739,POINT (24.8549 19.6739)
42,42,25.7776,20.3667,POINT (25.7776 20.3667)
43,43,25.9603,20.1393,POINT (25.9603 20.1393)
44,44,23.2586,20.2599,POINT (23.2586 20.2599)
45,45,24.4262,19.4651,POINT (24.4262 19.4651)
46,46,23.9086,20.0498,POINT (23.9086 20.0498)
47,47,24.1254,20.6389,POINT (24.1254 20.6389)
48,48,24.6915,20.1424,POINT (24.6915 20.1424)
49,49,24.4311,20.358,POINT (24.4311 20.358)
50,50,24.3845,20.0623,POINT (24.3845 20.0623)
51,51,24.6269,20.6358,POINT (24.6269 20.6358)
52,52,25.0991,20.4177,POINT (25.0991 20.4177)
53,53,26.1815,16.782,POINT (26.1815 16.782)
54,54,26.335,16.5919,POINT (26.335 16.5919)
55,55,26.7209,16.5857,POINT (26.7209 16.5857)
56,56,26.632,16.8641,POINT (26.632 16.8641)
57,57,26.9657,16.9293,POINT (26.9657 16.9293)
58,58,27.3218,16.8578,POINT (27.3218 16.8578)
59,59,27.1422,16.5372,POINT (27.1422 16.5372)
60,60,27.6107,16.4453,POINT (27.6107 16.4453)
61,61,27.8897,16.8224,POINT (27.8897 16.8224)
62,62,27.7667,16.695,POINT (27.7667 16.695)
63,63,28.1743,16.6466,POINT (28.1743 16.6466)
64,64,28.2631,16.9206,POINT (28.2631 16.9206)
65,65,28.7739,16.6602,POINT (28.7739 16.6602)
66,66,28.7043,16.4254,POINT (28.7043 16.4254)
67,67,28.0475,16.3284,POINT (28.0475 16.3284)
68,68,28.5204,16.1986,POINT (28.5204 16.1986)
69,69,26.7302,15.6424,POINT (26.7302 15.6424)
70,70,26.852,15.9972,POINT (26.852 15.9972)
71,71,26.5612,15.9829,POINT (26.5612 15.9829)
72,72,26.7103,16.2564,POINT (26.7103 16.2564)
73,73,27.0359,16.2023,POINT (27.0359 16.2023)
74,74,27.2018,15.822,POINT (27.2018 15.822)
75,75,27.4212,16.0358,POINT (27.4212 16.0358)
76,76,27.8195,15.8338,POINT (27.8195 15.8338)
77,77,27.7915,16.1078,POINT (27.7915 16.1078)
78,78,25.8883,16.3949,POINT (25.8883 16.3949)
79,79,26.3288,16.3446,POINT (26.3288 16.3446)
80,80,26.394,16.0799,POINT (26.394 16.0799)
81,81,26.1269,16.0227,POINT (26.1269 16.0227)
82,82,26.1057,15.6791,POINT (26.1057 15.6791)
83,83,22.1134,19.5347,POINT (22.1134 19.5347)
84,84,21.758,19.0761,POINT (21.758 19.0761)
85,85,22.1743,19.0376,POINT (22.1743 19.0376)
86,86,23.3294,19.4769,POINT (23.3294 19.4769)
87,87,22.9218,19.5036,POINT (22.9218 19.5036)
88,88,22.6552,18.9705,POINT (22.6552 18.9705)
89,89,23.153,18.4573,POINT (23.153 18.4573)
90,90,23.3381,19.1022,POINT (23.3381 19.1022)
91,91,22.8597,18.7474,POINT (22.8597 18.7474)
92,92,21.9562,18.2882,POINT (21.9562 18.2882)
93,93,21.0906,18.1105,POINT (21.0906 18.1105)
94,94,22.3415,18.1478,POINT (22.3415 18.1478)
95,95,22.7609,18.3299,POINT (22.7609 18.3299)
96,96,23.0523,18.0795,POINT (23.0523 18.0795)
97,97,23.2605,18.0099,POINT (23.2605 18.0099)
98,98,23.7029,17.9465,POINT (23.7029 17.9465)
99,99,24.008,17.7247,POINT (24.008 17.7247)
100,100,22.2346,17.3394,POINT (22.2346 17.3394)
101,101,22.1842,17.5637,POINT (22.1842 17.5637)
102,102,22.5403,17.6662,POINT (22.5403 17.6662)
103,103,22.5745,17.3773,POINT (22.5745 17.3773)
104,104,23.2132,17.4481,POINT (23.2132 17.4481)
105,105,23.0219,17.6967,POINT (23.0219 17.6967)
106,106,23.4929,17.7073,POINT (23.4929 17.7073)
107,107,22.9249,17.396,POINT (22.9249 17.396)
108,108,23.7663,17.3686,POINT (23.7663 17.3686)
109,109,23.9185,17.0057,POINT (23.9185 17.0057)
110,110,23.7855,17.0648,POINT (23.7855 17.0648)
111,111,24.1931,16.8131,POINT (24.1931 16.8131)
112,112,23.4438,16.5745,POINT (23.4438 16.5745)
113,113,23.7427,16.6422,POINT (23.7427 16.6422)
114,114,23.1791,16.5633,POINT (23.1791 16.5633)
115,115,22.8106,16.5652,POINT (22.8106 16.5652)
116,116,22.6329,16.8566,POINT (22.6329 16.8566)
117,117,22.2197,16.8367,POINT (22.2197 16.8367)
118,118,22.6136,17.1412,POINT (22.6136 17.1412)
119,119,23.591,16.8995,POINT (23.591 16.8995)
120,120,23.2654,16.9778,POINT (23.2654 16.9778)
121,121,22.974,17.0014,POINT (22.974 17.0014)
